main_aspect,negative,neutral,positive
$275 usd,0,0,1
1 pair,0,1,0
17 minutes,0,1,0
@nike,0,1,0
a cookie,0,0,1
a cool looking shoe,0,0,1
a coworker,0,0,1
a half,0,1,0
a new gps,0,0,1
a pair,0,3,4
a pair please 🔥,0,1,0
a shoe,0,0,1
a sport shoe,1,0,0
a way,0,1,0
an everyday shoe,0,1,0
an l,1,0,0
another overshoe 🙏🏾🙏🏾,0,1,0
assignments nike,0,0,1
beautiful video,0,0,1
casey,0,0,1
cool guy,0,0,1
creatives,0,0,1
dude 😂,0,0,1
dyneema,1,0,0
every day,0,0,1
everyday shoe huh,0,0,1
everyone,0,2,0
everything,0,0,1
film,0,1,0
free trail,0,0,1
general release,0,1,0
govenors island,0,1,0
great video,0,0,2
high art,1,0,0
him,0,0,1
incredible,0,1,0
it won’t fail,1,0,0
it 💪🏼💪🏼💪🏼,0,0,1
its real help,0,0,1
king solomon 👏,0,1,0
love,0,0,1
man,0,0,1
many pairs,0,1,0
mars yard,0,0,1
mine,0,1,0
more general purpose shoes,0,0,1
my grails,0,0,1
my hands,0,0,1
next level marketing,0,0,1
nike,1,1,1
nike acg,0,1,0
nike craft,0,1,0
nike model = magarina  응 나이키 잘가,0,1,0
nike nicolas ✅,0,1,0
nike shoes,0,0,1
no wonder,0,0,1
nobody,0,1,0
offer letter,0,1,0
ohhhhhhhh yeaaaaaa,0,1,0
one,0,1,0
only 37 pairs,0,0,1
potente,0,1,0
psyop,0,1,0
respect,0,0,1
shoe,0,0,1
shoes,0,0,1
so f'n dope,0,1,0
someone,0,1,0
success,0,0,1
such a good mini doc,0,0,1
summer camp,0,1,0
tbe,0,0,1
the  vision,0,0,1
the bodega,0,0,1
the mars yard,0,0,1
the one shoe,0,0,1
the opportunity,0,0,1
the painted-on swoosh,0,0,1
the release date,0,1,0
the reward,0,0,1
the story,0,0,1
the studio,0,1,0
the test,1,0,0
the thought,0,0,1
the tom sachs nike shoe,0,0,1
the us end,1,0,0
the video,0,0,1
the work,0,2,1
them,1,2,2
these,0,1,3
these 3.0 stop,1,0,0
these 😮‍💨😮‍,0,1,0
they,0,2,2
this,0,1,4
this advert audience,0,1,0
this brief history,1,0,0
this release,0,1,0
this shoe tom/nike,1,0,0
tom,0,1,3
truly amazing story,0,0,1
unfortunately no lol,1,0,0
unknown,2,12,11
van neistat,1,0,1
wear tester,0,0,1
what,0,2,0
what work,0,0,1
who,0,1,0
work,1,1,0
you,0,3,4
your 'cute' mars yard,1,0,0
ほしい！ほしい！ほしい,0,1,0
🇲🇽🇲🇽,0,0,1
